tweet,Brand/Product,sentiment,Brand,Hashtags,tweet_Word_Count,Processed_tweet,Original_Sentiment,Token Count
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Not Positive,Apple,"['#RISE_Austin', '#SXSW']",23,"['have', '3g', 'iphone', '3', 'hr', 'tweeting', 'it', 'wa', 'dead', 'need', 'upgrade', 'plugin', 'station']",Negative emotion,13
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive,Apple,['#SXSW'],22,"['know', 'awesome', 'ipadiphone', 'app', 'likely', 'appreciate', 'design', 'also', 'theyre', 'giving', 'free', 't']",Positive emotion,12
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive,Apple,"['#iPad', '#SXSW']",15,"['can', 'not', 'wait', '2', 'also', 'should', 'sale']",Positive emotion,7
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Not Positive,Apple,['#sxsw'],15,"['hope', 'year', 'festival', 'isnt', 'crashy', 'year', 'iphone', 'app']",Negative emotion,8
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive,Google,['#SXSW'],17,"['great', 'stuff', 'fri', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Positive emotion,14
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,Uncategorised,Not Positive,Apple,"['#SpeechTherapy', '#SXSW', '#iear', '#edchat', '#asd']",18,"['new', 'ipad', 'apps', 'communication', 'are', 'showcased', 'conference']",No emotion toward brand or product,7
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive,Google,"['#SXSW', '#CTIA', '#googleio', '#android']",28,"['is', 'starting', 'is', 'around', 'corner', 'is', 'hop', 'skip', 'jump', 'good', 'time', 'fan']",Positive emotion,12
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive,Apple,"['#hollergram', '#sxsw']",17,"['beautifully', 'smart', 'simple', 'idea', 'rt', 'wrote', 'ipad', 'app']",Positive emotion,8
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive,Apple,['#sxsw'],16,"['counting', 'day', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",Positive emotion,10
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive,Google,"['#sxsw', '#fail']",21,"['excited', 'meet', 'can', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', '21']",Positive emotion,10
